;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;index__CRP_1;index__LacticAcid_1;index__Leucocytes_1;index__hour_1;index__day_1;index__month_1;index__timesincemidnight_1;index__timesincelast_1;index__timesincestart_1;index__OrderOfEvent_1;index__openCases_1;index__remainingtime_1;index__CRP_2;index__LacticAcid_2;index__Leucocytes_2;index__hour_2;index__day_2;index__month_2;index__timesincemidnight_2;index__timesincelast_2;index__timesincestart_2;index__OrderOfEvent_2;index__openCases_2;index__remainingtime_2;index__CRP_3;index__LacticAcid_3;index__Leucocytes_3;index__hour_3;index__day_3;index__month_3;index__timesincemidnight_3;index__timesincelast_3;index__timesincestart_3;index__OrderOfEvent_3;index__openCases_3;index__remainingtime_3;index__CRP_4;index__LacticAcid_4;index__Leucocytes_4;index__hour_4;index__day_4;index__month_4;index__timesincemidnight_4;index__timesincelast_4;index__timesincestart_4;index__OrderOfEvent_4;index__openCases_4;index__remainingtime_4;index__CRP_5;index__LacticAcid_5;index__Leucocytes_5;index__hour_5;index__day_5;index__month_5;index__timesincemidnight_5;index__timesincelast_5;index__timesincestart_5;index__OrderOfEvent_5;index__openCases_5;index__remainingtime_5;encoded_label
static__Age;1.0;-0.101;-0.076;-0.045;0.01;0.039;-0.043;-0.053;-0.052;0.06;-0.039;0.018;-0.105;-0.065;0.01;0.039;-0.065;-0.091;-0.093;-0.014;-0.052;0.06;-0.018;0.013;-0.016;-0.087;0.011;0.039;-0.089;-0.089;-0.124;0.053;-0.052;0.06;-0.084;0.01;-0.006;-0.093;0.011;0.039;-0.094;-0.016;-0.129;-0.053;-0.053;0.06;-0.059;0.008;-0.027;-0.098;0.011;0.039;-0.1;0.031;-0.122;-0.023;-0.053;0.06;-0.047;0.043;0.026;-0.089;0.012;0.039;-0.089;0.057;0.015;0.039;-0.053;0.06;-0.131
index__CRP_0;-0.101;1.0;0.566;-0.07;0.046;-0.007;-0.07;0.685;-0.004;-0.049;0.236;0.035;0.416;-0.053;0.046;-0.007;-0.054;0.102;0.101;-0.335;-0.005;-0.049;0.376;-0.012;0.23;0.026;0.046;-0.007;0.028;0.516;0.466;-0.031;-0.005;-0.05;0.183;-0.062;0.043;0.028;0.046;-0.007;0.03;0.109;0.465;-0.072;-0.005;-0.05;0.185;-0.105;0.034;0.03;0.046;-0.007;0.03;-0.037;0.45;0.003;-0.005;-0.05;0.214;-0.029;0.007;0.048;0.046;-0.007;0.043;0.005;0.149;0.135;-0.004;-0.05;0.077
index__Leucocytes_0;-0.076;0.566;1.0;-0.09;0.049;0.026;-0.09;0.85;0.039;-0.035;-0.021;-0.016;0.649;-0.043;0.049;0.026;-0.041;0.349;0.347;-0.413;0.039;-0.035;0.194;-0.035;0.343;0.06;0.049;0.026;0.061;0.646;0.727;-0.035;0.037;-0.035;0.056;-0.079;0.082;0.061;0.049;0.026;0.063;0.104;0.719;-0.08;0.037;-0.035;0.1;-0.124;0.083;0.064;0.049;0.026;0.064;-0.041;0.702;0.0;0.037;-0.035;0.126;-0.088;0.016;0.079;0.048;0.026;0.076;0.001;0.226;0.095;0.037;-0.035;0.027
index__hour_0;-0.045;-0.07;-0.09;1.0;-0.005;-0.102;0.999;-0.064;-0.061;-0.001;-0.041;-0.068;-0.119;0.944;-0.004;-0.102;0.943;-0.071;-0.073;-0.016;-0.061;-0.001;-0.072;-0.03;-0.039;0.909;-0.003;-0.102;0.907;-0.075;-0.11;0.021;-0.061;-0.001;0.009;-0.008;-0.076;0.895;-0.003;-0.102;0.895;-0.033;-0.103;0.019;-0.061;-0.001;-0.029;-0.043;-0.098;0.885;-0.003;-0.102;0.885;0.025;-0.094;-0.042;-0.061;-0.001;0.007;-0.054;-0.041;0.829;-0.002;-0.102;0.83;-0.031;-0.059;0.003;-0.06;-0.001;-0.062
index__day_0;0.01;0.046;0.049;-0.005;1.0;0.031;-0.004;0.041;-0.018;0.023;0.032;0.03;0.023;-0.01;1.0;0.031;-0.01;0.007;0.004;-0.03;-0.017;0.023;0.086;0.023;0.038;0.003;1.0;0.031;0.004;0.025;0.022;0.011;-0.017;0.023;0.027;-0.008;-0.055;0.009;1.0;0.031;0.009;-0.054;0.017;-0.034;-0.017;0.023;0.086;-0.03;-0.003;0.006;1.0;0.031;0.004;-0.012;0.014;0.016;-0.018;0.023;0.07;0.003;-0.019;-0.007;1.0;0.031;-0.01;-0.027;-0.02;0.013;-0.017;0.023;0.108
index__month_0;0.039;-0.007;0.026;-0.102;0.031;1.0;-0.101;0.037;0.21;-0.003;-0.053;0.008;0.021;-0.083;0.03;1.0;-0.084;0.0;-0.003;-0.015;0.21;-0.003;0.059;-0.041;0.019;-0.063;0.03;1.0;-0.064;0.017;0.015;-0.007;0.21;-0.003;0.039;0.023;0.036;-0.057;0.03;1.0;-0.057;0.026;0.009;0.046;0.21;-0.003;0.031;0.049;0.004;-0.067;0.03;1.0;-0.065;-0.026;0.007;0.005;0.21;-0.003;-0.018;0.058;0.04;-0.08;0.03;1.0;-0.079;-0.016;-0.013;-0.047;0.21;-0.003;0.032
index__timesincemidnight_0;-0.043;-0.07;-0.09;0.999;-0.004;-0.101;1.0;-0.063;-0.062;-0.001;-0.039;-0.069;-0.12;0.943;-0.003;-0.101;0.943;-0.072;-0.074;-0.018;-0.062;-0.001;-0.069;-0.03;-0.038;0.909;-0.002;-0.101;0.907;-0.074;-0.11;0.021;-0.062;-0.001;0.012;-0.007;-0.074;0.895;-0.002;-0.101;0.894;-0.031;-0.101;0.023;-0.062;-0.001;-0.027;-0.04;-0.098;0.884;-0.002;-0.101;0.884;0.027;-0.093;-0.042;-0.062;-0.001;0.007;-0.052;-0.041;0.829;-0.001;-0.101;0.83;-0.03;-0.057;0.001;-0.062;-0.001;-0.063
index__OrderOfEvent_0;-0.053;0.685;0.85;-0.064;0.041;0.037;-0.063;1.0;0.03;-0.051;-0.02;-0.015;0.551;-0.066;0.041;0.037;-0.065;-0.038;-0.039;-0.481;0.03;-0.051;0.246;-0.032;0.29;0.057;0.041;0.037;0.056;0.772;0.573;-0.032;0.028;-0.052;0.097;-0.071;0.066;0.058;0.041;0.037;0.058;0.123;0.573;-0.073;0.028;-0.052;0.1;-0.113;0.064;0.059;0.041;0.037;0.059;-0.038;0.554;0.003;0.028;-0.052;0.119;-0.083;0.007;0.072;0.041;0.037;0.07;0.003;0.179;0.097;0.028;-0.052;0.046
index__openCases_0;-0.052;-0.004;0.039;-0.061;-0.018;0.21;-0.062;0.03;1.0;-0.127;0.021;0.056;0.081;-0.049;-0.018;0.21;-0.048;0.02;0.021;0.035;1.0;-0.127;-0.048;0.019;0.093;-0.027;-0.018;0.21;-0.026;0.068;0.062;0.027;1.0;-0.127;-0.031;-0.024;-0.066;-0.019;-0.018;0.21;-0.02;0.039;0.067;-0.013;1.0;-0.127;-0.006;0.001;0.068;-0.006;-0.019;0.21;-0.006;0.05;0.078;0.04;1.0;-0.127;-0.054;-0.037;-0.074;-0.024;-0.018;0.21;-0.023;0.046;0.068;-0.05;1.0;-0.127;-0.018
index__remainingtime_0;0.06;-0.049;-0.035;-0.001;0.023;-0.003;-0.001;-0.051;-0.127;1.0;-0.048;0.034;-0.027;-0.031;0.023;-0.003;-0.034;0.02;0.016;0.042;-0.127;1.0;-0.08;-0.034;-0.064;-0.04;0.023;-0.003;-0.043;-0.06;-0.033;-0.03;-0.128;1.0;-0.026;-0.022;0.012;-0.041;0.023;-0.003;-0.042;-0.046;-0.043;0.031;-0.127;1.0;-0.067;0.039;0.043;-0.041;0.023;-0.003;-0.042;-0.021;-0.051;0.011;-0.127;1.0;-0.082;-0.045;0.018;-0.034;0.023;-0.003;-0.033;-0.027;-0.039;-0.036;-0.127;1.0;0.088
index__CRP_1;-0.039;0.236;-0.021;-0.041;0.032;-0.053;-0.039;-0.02;0.021;-0.048;1.0;0.195;0.36;-0.015;0.032;-0.053;-0.019;0.076;0.125;0.319;0.02;-0.048;0.423;0.298;0.281;-0.01;0.032;-0.053;-0.012;0.076;0.107;0.126;0.021;-0.048;0.064;-0.052;0.074;-0.014;0.032;-0.053;-0.016;-0.037;0.084;-0.265;0.02;-0.048;0.228;-0.018;0.073;-0.011;0.032;-0.053;-0.012;0.016;0.093;-0.011;0.02;-0.048;0.241;0.05;0.025;-0.004;0.031;-0.053;-0.007;-0.012;0.021;0.096;0.021;-0.048;0.084
index__LacticAcid_1;0.018;0.035;-0.016;-0.068;0.03;0.008;-0.069;-0.015;0.056;0.034;0.195;1.0;0.362;-0.065;0.03;0.008;-0.066;-0.0;0.003;0.712;0.056;0.034;-0.017;0.365;0.091;-0.067;0.03;0.008;-0.068;-0.02;-0.015;-0.186;0.056;0.034;-0.07;0.046;0.059;-0.07;0.03;0.008;-0.07;-0.023;-0.032;-0.219;0.056;0.034;-0.01;0.037;0.057;-0.069;0.03;0.008;-0.07;-0.018;-0.031;-0.008;0.056;0.034;-0.013;0.069;0.007;-0.071;0.029;0.008;-0.071;-0.019;-0.025;0.044;0.056;0.034;-0.045
