;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;encoded_label
static__Age;1.0;-0.1;-0.075;-0.047;0.009;0.037;-0.045;-0.052;-0.054;0.061;0.018
index__CRP_0;-0.1;1.0;0.566;-0.069;0.045;-0.006;-0.069;0.685;-0.004;-0.049;-0.006
index__Leucocytes_0;-0.075;0.566;1.0;-0.089;0.048;0.027;-0.089;0.85;0.039;-0.034;-0.007
index__hour_0;-0.047;-0.069;-0.089;1.0;-0.011;-0.095;0.999;-0.063;-0.057;0.001;-0.091
index__day_0;0.009;0.045;0.048;-0.011;1.0;0.023;-0.01;0.04;-0.019;0.023;0.047
index__month_0;0.037;-0.006;0.027;-0.095;0.023;1.0;-0.094;0.038;0.214;-0.001;-0.014
index__timesincemidnight_0;-0.045;-0.069;-0.089;0.999;-0.01;-0.094;1.0;-0.063;-0.058;0.001;-0.09
index__OrderOfEvent_0;-0.052;0.685;0.85;-0.063;0.04;0.038;-0.063;1.0;0.03;-0.051;-0.006
index__openCases_0;-0.054;-0.004;0.039;-0.057;-0.019;0.214;-0.058;0.03;1.0;-0.125;0.044
index__remainingtime_0;0.061;-0.049;-0.034;0.001;0.023;-0.001;0.001;-0.051;-0.125;1.0;-0.021
encoded_label;0.018;-0.006;-0.007;-0.091;0.047;-0.014;-0.09;-0.006;0.044;-0.021;1.0
